Investigator,,Time (s),Electrode,Amplitude (mV)
Recording Name,Plate 2 MEA Analylsis Test,00000.782880,A3_31,0.017
Description,,00001.355200,A2_21,0.025
,,00002.050720,A3_31,0.018
Maestro Pro Settings,,00002.775760,A2_46,0.016
   Original File Time,09/26/2024 12:38:27,00002.849520,A2_46,0.018
   Sampling Frequency,12.5 kHz,00003.464480,A2_21,0.022
   Voltage Scale,-5.48486178148311E-08 V/sample,00004.147200,A3_31,0.017
   Experiment Start Time,09/26/2024 12:33:48,00004.484240,A2_46,0.017
   Referencing Method,Median,00005.131920,A2_22,0.016
   Analog Mode Setting,Neural Spikes,00005.132160,A2_11,0.028
   Plate Type,CytoView MEA 6,00005.151680,A2_24,0.023
   Digital Low Pass Filter,3 kHz Kaiser Window,00005.162160,A2_24,0.019
   Digital High Pass Filter,200 Hz IIR,00005.170160,A2_24,0.024
   Temperature Set Point,37.0 Degrees C,00005.176560,A2_22,0.013
   Current Temperature,36.9 Degrees C,00005.192240,A2_66,0.024
   Heater Power,On,00005.193760,A2_56,0.015
   Barcode Plate Type,SixWell,00005.230640,A2_22,0.012
   Plate Serial Number,121-2438,00005.233760,A2_46,0.016
   CO2 Conc. Set Point,5.0 %,00005.246720,A2_33,0.018
   Actual CO2 Conc.,5.1 %,00005.260640,A2_66,0.023
   Gas Mixer Status,Regulating,00005.266880,A2_21,0.026
   AxIS Version,2.0.2.5,00005.269920,A2_33,0.02
   Maestro Pro Firmware,2.0.2.5,00005.273680,A2_24,0.022
   Maestro Pro BioCore Version,4B,00005.285360,A2_21,0.021
,,00005.288320,A2_31,0.012
AxIS Playback,,00005.295360,A2_21,0.024
   AxIS Version,2.0.2.5,00005.295360,A2_33,0.022
   File Name,Plate 2 MEA Analylsis Test(001).raw,00005.307600,A2_66,0.026
   Plate Type,CytoView MEA 6,00005.308240,A2_56,0.017
   Requested File Section,0s to 10m0s,00005.314960,A2_33,0.019
   Actual File Section Run,0s to 10m0s,00005.340480,A2_22,0.017
   Recording Offset from File Start,0s,00005.351840,A2_21,0.019
,,00005.358640,A2_33,0.012
Spike Detector Settings,,00005.362320,A2_66,0.014
   Method,Adaptive Threshold Crossing,00005.367680,A2_33,0.018
   Threshold,6,00005.381120,A2_56,0.012
   Threshold Status,Variable,00005.381440,A2_33,0.014
   Threshold Crossing Only,True,00005.382160,A2_66,0.011
   Pre-Spike Duration,0.84 ms,00005.393520,A2_21,0.023
   Post-Spike Duration,2.16 ms,00005.397520,A2_24,0.028
   Coincident Event Filter,Default (Well),00005.407040,A2_33,0.018
   Coincidence Occurrence Threshold,4 Electrodes,00005.410320,A2_33,0.016
   Coincidence Event Window,160 µs,00005.413040,A2_66,0.017
   Allow Sample Overlap,false,00005.413120,A2_33,0.013
   Spike Count Interval,1 s,00005.415520,A2_66,0.012
,,00005.426480,A2_21,0.015
,,00005.428480,A2_33,0.017
,,00005.434880,A2_33,0.016
,,00005.438080,A2_66,0.015
,,00005.447440,A2_11,0.018
,,00005.457520,A2_33,0.014
,,00005.481520,A2_33,0.017
