Investigator,Unnamed: 1,Interval Start (S),Interval End (S),Unnamed: 4,B1,Unnamed: 11,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B1_51,B1_52,B1_53,B1_54,B1_55,B1_56,B1_57,B1_58,B1_61,B1_62,B1_63,B1_64,B1_65,B1_66,B1_67,B1_68,B1_71,B1_72,B1_73,B1_74,B1_75,B1_76,B1_77,B1_78,B1_81,B1_82,B1_83,B1_84,B1_85,B1_86,B1_87,B1_88
Recording Name,Plate 2 MEA Analylsis Test,00000.000000,00001.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
Description,,00001.000000,00002.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
,,00002.000000,00003.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
Maestro Pro Settings,,00003.000000,00004.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Original File Time,09/26/2024 12:38:27,00004.000000,00005.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Sampling Frequency,12.5 kHz,00005.000000,00006.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Voltage Scale,-5.48486178148311E-08 V/sample,00006.000000,00007.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Experiment Start Time,09/26/2024 12:33:48,00007.000000,00008.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Referencing Method,Median,00008.000000,00009.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Analog Mode Setting,Neural Spikes,00009.000000,00010.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Plate Type,CytoView MEA 6,00010.000000,00011.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Digital Low Pass Filter,3 kHz Kaiser Window,00011.000000,00012.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Digital High Pass Filter,200 Hz IIR,00012.000000,00013.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Temperature Set Point,37.0 Degrees C,00013.000000,00014.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Current Temperature,36.9 Degrees C,00014.000000,00015.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Heater Power,On,00015.000000,00016.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Barcode Plate Type,SixWell,00016.000000,00017.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Plate Serial Number,121-2438,00017.000000,00018.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   CO2 Conc. Set Point,5.0 %,00018.000000,00019.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Actual CO2 Conc.,5.1 %,00019.000000,00020.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   Gas Mixer Status,Regulating,00020.000000,00021.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
   AxIS Version,2.0.2.5,00021.000000,00022.000000,,0.0,,(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off),(off)
